[0.09152577 0.70649571], [2], 0.0, [ 0.11033339 -0.31895424], False, False;
[ 0.11033339 -0.31895424], [1], 0.0, [0.10910299 0.2936613 ], False, False;
[0.10910299 0.2936613 ], [2], 0.0, [ 0.07650804 -0.96542244], False, False;
[ 0.07650804 -0.96542244], [0], 0.0, [0.09196608 1.28270188], False, False;
[0.09196608 1.28270188], [2], 0.0, [ 0.14795999 -0.1278216 ], False, False;
[ 0.14795999 -0.1278216 ], [2], 0.0, [ 0.07021655 -1.47502881], False, False;
[ 0.07021655 -1.47502881], [0], 0.0, [7.58818674e-05 3.30173475e-02], False, False;
[7.58818674e-05 3.30173475e-02], [1], 0.0, [-0.00558043 -0.14938486], False, False;
[-0.00558043 -0.14938486], [1], 0.0, [-0.0322417  -0.39908322], False, False;
[-0.0322417  -0.39908322], [0], 0.0, [0.0127964  1.32597706], False, False;
[0.0127964  1.32597706], [2], 0.0, [ 0.05856347 -0.38349515], False, False;
[ 0.05856347 -0.38349515], [0], 0.0, [0.12503062 1.74752437], False, False;
[0.12503062 1.74752437], [2], 0.0, [0.2485994  0.80122321], False, False;
[0.2485994  0.80122321], [2], 0.0, [ 0.28403814 -0.06930729], False, False;
[ 0.28403814 -0.06930729], [2], 0.0, [ 0.23263755 -0.99230587], False, False;
[ 0.23263755 -0.99230587], [2], 0.0, [ 0.07835073 -2.18979419], False, False;
[ 0.07835073 -2.18979419], [0], 0.0, [-0.0455903  -0.35879326], False, False;
[-0.0455903  -0.35879326], [0], 0.0, [-0.01868926  0.91258839], False, False;
[-0.01868926  0.91258839], [2], 0.0, [-0.00090569 -0.54676126], False, False;
[-0.00090569 -0.54676126], [0], 0.0, [0.03608511 1.30754323], False, False;
[0.03608511 1.30754323], [2], 0.0, [0.10454785 0.10266595], False, False;
[0.10454785 0.10266595], [2], 0.0, [ 0.05345785 -1.15529542], False, False;
[ 0.05345785 -1.15529542], [1], 0.0, [-0.07142174 -1.4131666 ], False, False;
[-0.07142174 -1.4131666 ], [0], 0.0, [-0.12821071  0.24195909], False, False;
[-0.12821071  0.24195909], [0], 0.0, [-0.05250308  1.31774927], False, False;
[-0.05250308  1.31774927], [2], 0.0, [-0.00820541 -0.40696178], False, False;
